h,famous
1.2101848481385389e-11,0.0
2.0359913172017478e-11,0.0
4.1547643380166664e-12,0.0
1.443773750049146e-11,0.0
1.3952586637997002e-11,0.0
1.344527102394899e-11,0.0
1.3325459467072123e-11,0.0
2.551321980801971e-11,0.0
4.648958859117679e-12,1.0
1.483290447048578e-11,0.0
2.755476046677154e-11,1.0
1.6238753852533567e-11,0.0
1.7012472642687606e-11,1.0
1.2260105726387733e-11,0.0
8.379795223304895e-12,0.0
2.6124279328064397e-11,0.0
1.967107169823669e-11,0.0
1.7514118718641858e-11,1.0
1.2532188168207676e-11,0.0
1.9619740543947803e-11,0.0
1.4452237212033405e-11,0.0
1.6442610712592964e-11,0.0
4.228685356678143e-12,0.0
1.8180273725259028e-11,0.0
4.552689143842819e-12,0.0
1.0712432261045555e-11,0.0
1.607031394389006e-11,0.0
2.3924416563556477e-11,1.0
1.238873515083413e-11,0.0
2.2016721741582818e-11,1.0
1.714484808423528e-11,0.0
1.9484417641734617e-11,0.0
1.9284889613932037e-11,0.0
1.6771487259950218e-11,0.0
1.2729137026057241e-11,0.0
2.734113531328827e-11,0.0
4.3685911679387205e-12,0.0
1.2760617942258206e-11,0.0
1.3684605808355877e-11,0.0
1.2888168388341474e-11,0.0
1.6486752949947808e-11,0.0
1.7557970212349887e-11,1.0
1.512899293706996e-11,0.0
1.7554183468516997e-11,0.0
2.5423286897543973e-11,1.0
2.304087689187725e-11,1.0
1.950676031910551e-11,0.0
1.65326993329625e-11,0.0
1.1579930595358714e-11,0.0
4.391268534338556e-12,1.0
1.7082770468512295e-11,0.0
1.3879140256277197e-11,0.0
1.298606511816114e-11,0.0
1.6246320654022556e-11,0.0
4.1547643380166664e-12,0.0
1.750929085619839e-11,0.0
1.1559352888709477e-11,0.0
1.5257452741250774e-11,1.0
4.1547643380166664e-12,0.0
1.2243362472692899e-11,0.0
4.200658765176165e-12,0.0
4.648958859117679e-12,1.0
1.572459652890262e-11,0.0
1.4133052647450484e-11,0.0
1.254281914651063e-11,1.0
1.5536230101147022e-11,0.0
1.568092451950779e-11,0.0
2.495447745917601e-11,0.0
1.6785744539410936e-11,0.0
2.1485001884310958e-11,0.0
1.1888914796094351e-11,0.0
2.0369914514900963e-11,0.0
1.379747496983149e-11,0.0
1.9643282326885022e-11,1.0
1.8100331572097387e-11,0.0
1.8222832151235344e-11,0.0
1.7392221884586886e-11,0.0
4.1547643380166664e-12,0.0
1.521898048619319e-11,0.0
1.4465530489300609e-11,0.0
1.792682716618117e-11,0.0
4.083383355114349e-12,0.0
4.596714491470326e-12,0.0
1.4868777932383505e-11,0.0
4.552689143842819e-12,0.0
1.2208213943098949e-11,0.0
1.3843024147761591e-11,1.0
1.5885363344762913e-11,0.0
1.74384170840293e-11,0.0
1.6198379613638814e-11,1.0
4.228685356678143e-12,0.0
4.344634163672422e-12,0.0
1.262847224115203e-11,0.0
1.649026890543193e-11,0.0
1.6866823666591258e-11,0.0
1.6169341272506987e-11,1.0
1.1920900867520088e-11,0.0
1.4899852490065542e-11,0.0
4.344634163672422e-12,0.0
1.5241433800299376e-11,0.0
1.5632211131773234e-11,0.0
1.572033002272413e-11,0.0
4.596714491470326e-12,0.0
1.1699288596348334e-11,0.0
1.855280659496274e-11,0.0
4.391268534338556e-12,1.0
4.596714491470326e-12,0.0
1.6655732662246962e-11,0.0
1.3177886167049547e-11,0.0
1.6085530018200365e-11,0.0
1.6059005465886188e-11,0.0
1.3930928620634885e-11,0.0
2.0413114431593884e-11,0.0
1.5154096676568232e-11,0.0
1.548333819655705e-11,0.0
2.036599589827873e-11,1.0
2.047295765067197e-11,0.0
1.3151840444890107e-11,0.0
1.5869852931708636e-11,0.0
1.0972200143093408e-11,0.0
1.732368470476375e-11,1.0
1.3796710559079338e-11,0.0
2.067179972660877e-11,0.0
4.552689143842819e-12,0.0
2.0667199244319856e-11,0.0
1.2853616733998505e-11,0.0
1.692341971083916e-11,0.0
4.1547643380166664e-12,0.0
1.6154278194725513e-11,0.0
1.6060391585775018e-11,1.0
1.3949884535513777e-11,0.0
4.014413698879273e-12,0.0
2.0227855282782058e-11,0.0
1.9881515807946607e-11,1.0
4.516440841618776e-12,1.0
1.6058362085976302e-11,0.0
4.1547643380166664e-12,0.0
4.014413698879273e-12,0.0
1.2600963897619892e-11,0.0
4.687370004989106e-12,0.0
1.2981293275950864e-11,0.0
1.4518685039239457e-11,0.0
1.6243397109098037e-11,0.0
1.2268506747555889e-11,0.0
1.572124509542899e-11,0.0
1.5009779392574167e-11,0.0
1.4603456608423382e-11,1.0
1.4634424940811547e-11,1.0
1.6609070955887177e-11,0.0
1.4375707513305002e-11,0.0
3.5554827694882965e-11,1.0
4.596714491470326e-12,0.0
2.4386608139079963e-11,1.0
1.4579592225271195e-11,0.0
1.4053528873210771e-11,0.0
4.552689143842819e-12,0.0
2.0799795434200923e-11,1.0
1.824642947387549e-11,0.0
1.488815052443814e-11,0.0
1.3480457558106397e-11,0.0
9.55535184126528e-11,0.0
1.7755993978944834e-11,0.0
1.3942346866707018e-11,0.0
1.5203095600822796e-11,0.0
1.7614826851061147e-11,0.0
1.5585825668381023e-11,0.0
2.6783293538077028e-11,1.0
1.9320272455902184e-11,0.0
1.7677001509799016e-11,0.0
1.2280736141274408e-11,0.0
1.4476113538212303e-11,0.0
2.176826046784056e-11,0.0
1.8000401279372088e-11,0.0
1.2113427524776926e-11,0.0
2.0337742131521497e-11,0.0
2.1194347233152958e-11,0.0
1.4663549904785855e-11,1.0
1.5981293890772173e-11,0.0
9.97749941104757e-12,1.0
2.372408399426599e-11,1.0
1.351017744720535e-11,0.0
4.467120868960361e-12,0.0
1.1612104010160102e-11,0.0
4.228685356678143e-12,0.0
7.477260477402413e-12,0.0
1.1730688046114015e-11,0.0
4.596714491470326e-12,0.0
7.133545479657175e-12,0.0
1.2843408372662399e-11,0.0
2.331531964557921e-11,0.0
1.5745958201211965e-11,1.0
1.9400724865377112e-11,0.0
1.503943661046757e-11,1.0
1.5320770280097062e-11,0.0
0.13603462611530087,0.0
1.4016848414277416e-11,1.0
1.7171468374856606e-11,1.0
1.7836799575236284e-11,0.0
1.6427357363707788e-11,0.0
2.3543671819474152e-11,0.0
4.570344426091675e-11,1.0
1.2917934895101877e-11,0.0
4.344634163672422e-12,0.0
2.2087327491717573e-11,1.0
2.0024412939245888e-11,0.0
1.3135319496604859e-11,0.0
1.6940626169640343e-11,1.0
2.4029460783550495e-11,0.0
1.9046788975068275e-11,0.0
1.8820367399410606e-11,0.0
1.350279868818462e-11,0.0
1.633948095997151e-11,0.0
1.7467783939133972e-11,0.0
2.1635518470624807e-11,1.0
1.522777868682522e-11,0.0
2.4662997435652435e-11,1.0
1.5963933933845777e-11,0.0
1.2644473841749588e-11,0.0
1.155801899050555e-11,0.0
1.1844471172793646e-11,0.0
1.3123532736489016e-11,0.0
1.5117148445557118e-11,0.0
1.549607388210414e-11,0.0
1.7296633836520256e-11,0.0
1.9004716339292337e-11,0.0
1.9815521814361092e-11,0.0
1.2124452114747863e-11,0.0
1.8403803400828335e-11,0.0
1.477995205555246e-11,0.0
1.7351859407671542e-11,0.0
4.344634163672422e-12,0.0
4.781673298691417e-12,0.0
4.641599633269827e-12,0.0
4.228685356678143e-12,0.0
4.879849064138028e-12,0.0
1.87836341338533e-11,0.0
2.1326536537192412e-11,0.0
1.9820531665108212e-11,1.0
1.4149756735927552e-11,0.0
9.845112051794427e-12,0.0
1.160176696595168e-11,0.0
1.260786998079435e-11,0.0
2.1236986770546378e-11,0.0
